Real,Imaginary
294906.00000,0.00000
-6.00000,0.00153
-6.00000,0.00307
-6.00000,0.00460
-6.00000,0.00614
-6.00000,0.00767
-6.00000,0.00920
-6.00000,0.01074
-6.00000,0.01227
-6.00001,0.01381
-6.00001,0.01534
-6.00001,0.01687
-6.00001,0.01841
-6.00001,0.01994
-6.00001,0.02148
-6.00002,0.02301
-6.00002,0.02454
-6.00002,0.02608
-6.00002,0.02761
-6.00003,0.02915
-6.00003,0.03068
-6.00003,0.03221
-6.00004,0.03375
-6.00004,0.03528
-6.00004,0.03682
-6.00005,0.03835
-6.00005,0.03988
-6.00005,0.04142
-6.00006,0.04295
-6.00006,0.04449
-6.00007,0.04602
-6.00007,0.04755
-6.00008,0.04909
-6.00008,0.05062
-6.00009,0.05216
-6.00009,0.05369
-6.00010,0.05522
-6.00010,0.05676
-6.00011,0.05829
-6.00011,0.05983
-6.00012,0.06136
-6.00012,0.06290
-6.00013,0.06443
-6.00014,0.06596
-6.00014,0.06750
-6.00015,0.06903
-6.00016,0.07057
-6.00016,0.07210
-6.00017,0.07363
-6.00018,0.07517
-6.00018,0.07670
-6.00019,0.07824
-6.00020,0.07977
-6.00021,0.08131
-6.00021,0.08284
-6.00022,0.08437
-6.00023,0.08591
-6.00024,0.08744
-6.00025,0.08898
-6.00026,0.09051
-6.00026,0.09205
-6.00027,0.09358
-6.00028,0.09511
-6.00029,0.09665
-6.00030,0.09818
-6.00031,0.09972
-6.00032,0.10125
-6.00033,0.10279
-6.00034,0.10432
-6.00035,0.10586
-6.00036,0.10739
-6.00037,0.10892
-6.00038,0.11046
-6.00039,0.11199
-6.00040,0.11353
-6.00041,0.11506
-6.00042,0.11660
-6.00044,0.11813
-6.00045,0.11967
-6.00046,0.12120
-6.00047,0.12274
-6.00048,0.12427
-6.00049,0.12580
-6.00051,0.12734
-6.00052,0.12887
-6.00053,0.13041
-6.00054,0.13194
-6.00056,0.13348
-6.00057,0.13501
-6.00058,0.13655
-6.00060,0.13808
-6.00061,0.13962
-6.00062,0.14115
-6.00064,0.14269
-6.00065,0.14422
-6.00066,0.14576
-6.00068,0.14729
-6.00069,0.14883
-6.00071,0.15036
-6.00072,0.15190
-6.00074,0.15343
-6.00075,0.15497
-6.00077,0.15650
-6.00078,0.15804
-6.00080,0.15957
-6.00081,0.16111
-6.00083,0.16264
-6.00084,0.16418
-6.00086,0.16571
-6.00087,0.16725
-6.00089,0.16878
-6.00091,0.17032
-6.00092,0.17185
-6.00094,0.17339
-6.00096,0.17492
-6.00097,0.17646
-6.00099,0.17799
-6.00101,0.17953
-6.00102,0.18106
-6.00104,0.18260
-6.00106,0.18414
-6.00108,0.18567
-6.00109,0.18721
-6.00111,0.18874
-6.00113,0.19028
-6.00115,0.19181
-6.00117,0.19335
-6.00119,0.19488
-6.00121,0.19642
-6.00122,0.19796
-6.00124,0.19949
-6.00126,0.20103
-6.00128,0.20256
-6.00130,0.20410
-6.00132,0.20563
-6.00134,0.20717
-6.00136,0.20871
-6.00138,0.21024
-6.00140,0.21178
-6.00142,0.21331
-6.00144,0.21485
-6.00146,0.21639
-6.00148,0.21792
-6.00150,0.21946
-6.00153,0.22099
-6.00155,0.22253
-6.00157,0.22407
-6.00159,0.22560
-6.00161,0.22714
-6.00163,0.22867
-6.00166,0.23021
-6.00168,0.23175
-6.00170,0.23328
-6.00172,0.23482
-6.00174,0.23636
-6.00177,0.23789
-6.00179,0.23943
-6.00181,0.24097
-6.00184,0.24250
-6.00186,0.24404
-6.00188,0.24557
-6.00191,0.24711
-6.00193,0.24865
-6.00195,0.25018
-6.00198,0.25172
-6.00200,0.25326
